car_park_no,address,x_coord,y_coord,car_park_type,type_of_parking_system,short_term_parking,free_parking,night_parking,car_park_decks,gantry_height,car_park_basement,longitude,latitude,nearest_charger_distance_m,nearest_charger_idx,gap_category,index_right,area_name,priority_score,area_gap_rate,road_distance_m,nearest_charger_road_idx,road_path_coords
CV4,BLK 6 CHANGI VILLAGE ROAD,45264.5806,41344.1397,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,0.0,N,103.98845411052046,1.3901710996794738,193.8927935323219,1958,Good,23,Zone 24,9.87,0.0,258.1,1958.0,"[(1.3901222, 103.9884234), (1.3899399, 103.9879237), (1.3900465, 103.9877542), (1.3904038, 103.986735)]"
CY,BLK 269/269A/269B CHENG YAN COURT CAR PARK,30264.3593,31442.1456,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,NO,NO,0,0.0,N,103.85366487138282,1.3006260281130555,69.89759518807477,1898,Excellent,16,Zone 17,3.56,0.0,100.0,1898.0,"[(1.300376, 103.8541594), (1.3010731, 103.8547271)]"
C10,"BLK 339,341,344-345,371-381 CLEMENTI AVENUE 5",20837.8461,33414.5726,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,103.76896294521585,1.318463207322819,174.92156993734233,1623,Good,11,Zone 12,8.9,0.0,1572.6,985.0,"[(1.3189782, 103.771082), (1.3191032, 103.7710504), (1.3191523, 103.7712525), (1.319024, 103.7712835), (1.318632, 103.7713785), (1.3183132, 103.7714558), (1.3166123, 103.7718378), (1.3164885, 103.7718587), (1.3164555, 103.771677), (1.3164053, 103.771393), (1.316062, 103.7703548), (1.3160195, 103.7702885), (1.315764, 103.7699308), (1.3124383, 103.7680577), (1.3121437, 103.7679456), (1.3119563, 103.7678743), (1.3120032, 103.76775), (1.3121845, 103.7678256), (1.3124814, 103.7679488), (1.3158484, 103.7698581)]"
C11,"BLK 321-322,324-326 CLEMENTI AVENUE 5",20522.6462,33009.6141,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,4.3,N,103.76613081145894,1.3148008328967467,176.64750307953346,909,Good,11,Zone 12,8.99,0.0,356.2,909.0,"[(1.3158244, 103.7650793), (1.3130213, 103.766585)]"
C12,"BLK 301-302,305-308 CLEMENTI AVENUE 4",20519.9139,33782.4237,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,103.76610607293507,1.3217898443793499,132.86371091199177,1013,Good,12,Zone 13,6.76,0.0,,,
C13M,BLK 309A CLEMENTI AVENUE 4,20528.1198,33646.8063,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,7,2.15,N,103.76617984015766,1.320563371411054,0.005471709354838427,1546,Excellent,12,Zone 13,10.0,0.0,,,
C14M,BLK 318A CLEMENTI AVENUE 4,20417.4455,33296.1766,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,2,2.15,N,103.76518546060046,1.3173923753204828,0.005160487947519758,687,Excellent,11,Zone 12,2.86,0.0,,,
C15M,BLK 440 CLEMENTI AVENUE 3,20290.6787,33170.3249,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,6,2.15,N,103.76404642824534,1.3162541862213404,0.003488386894224874,895,Excellent,11,Zone 12,8.57,0.0,,,
C16,BLK 430-435 CLEMENTI AVENUE 3,20116.5191,32955.7857,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,3.5,N,103.76248157167105,1.31431392669284,0.004320506454249998,1768,Excellent,11,Zone 12,0.0,0.0,,,
C17,"BLK 442-444,442A CLEMENTI AVENUE 3",20273.9935,32905.3373,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,0.0,N,103.76389656958308,1.3138577294992604,0.004703303265811677,851,Excellent,11,Zone 12,0.0,0.0,,,
